product_id,product_origin_id,reviewEval,reviewEvalValues,reviewTopic
2639969152,뷰티끄랩 발각질제거기 풋파일 BTQ-F1000,향/냄새,"별로예요,11-향이 괜찮아요,72-마음에 들어요,49",만족도-효과
1001783454,리틀머메이드 디스 이즈 프린세스 클렌징워터 500ml,세정력,"잘 안씻겨요,0-적당히 씻겨요,10-잘 씻겨요,21",용량-사용감-성분-향기
1001783454,리틀머메이드 디스 이즈 프린세스 클렌징워터 500ml,트러블,"조금 있었어요,1-잘 모르겠어요,11-전혀 없었어요,19",용량-사용감-성분-향기
1001783454,리틀머메이드 디스 이즈 프린세스 클렌징워터 500ml,수분감,"건조해요,1-보통이에요,12-촉촉해요,18",용량-사용감-성분-향기
1003014957,[뷰티모리]  윤곽크림NO.1 셀글로스 데이크림 50ml,수분감,"건조해요,4-보통이에요,47-촉촉해요,54",사용감-향기-효과
1003014957,[뷰티모리]  윤곽크림NO.1 셀글로스 데이크림 50ml,트러블,"조금 있었어요,9-잘 모르겠어요,40-전혀 없었어요,56",사용감-향기-효과
1003014957,[뷰티모리]  윤곽크림NO.1 셀글로스 데이크림 50ml,제형,"되직해요,2-적당해요,86-묽어요,17",사용감-향기-효과
1001511230,파운데이션 추천 ★ 뷰티모리 크리스탈 비비크림 (퍼프 증정),발색력,"연해요,2-딱 좋아요,91-진해요,4",색상-지속력-사용감-품질-메이크업-성분-화장소품-만족도-가격-커버력
1001511230,파운데이션 추천 ★ 뷰티모리 크리스탈 비비크림 (퍼프 증정),커버력,"약해요,19-잘 커버돼요,71-뛰어나요,7",색상-지속력-사용감-품질-메이크업-성분-화장소품-만족도-가격-커버력
1001511230,파운데이션 추천 ★ 뷰티모리 크리스탈 비비크림 (퍼프 증정),지속력,"짧아요,9-적당해요,76-오래 유지돼요,12",색상-지속력-사용감-품질-메이크업-성분-화장소품-만족도-가격-커버력
1001615414,"[뷰티모리]  크리스탈크림 오리지널, 모공줄이는법",수분감,"건조해요,4-보통이에요,29-촉촉해요,21",사이즈-용량-사용감-향기-트러블 개선-효과
1001615414,"[뷰티모리]  크리스탈크림 오리지널, 모공줄이는법",트러블,"조금 있었어요,7-잘 모르겠어요,22-전혀 없었어요,25",사이즈-용량-사용감-향기-트러블 개선-효과
